snames,year,nia_sw,nia_gw,nia_others,tnia,tgia
Andhra Pradesh,2014,14.29208437,16.38865435,3.03710828,35.60572143,45.24691145
Andhra Pradesh,2015,NA,NA,NA,NA,NA
Arunachal Pradesh,1950,NA,NA,NA,NA,NA
Arunachal Pradesh,1951,NA,NA,NA,NA,NA
Arunachal Pradesh,1952,NA,NA,NA,NA,NA
Arunachal Pradesh,1953,NA,NA,NA,NA,NA
Arunachal Pradesh,1954,NA,NA,NA,NA,NA
Arunachal Pradesh,1955,NA,NA,NA,NA,NA
Arunachal Pradesh,1956,NA,NA,NA,NA,NA
Arunachal Pradesh,1957,NA,NA,NA,NA,NA
Arunachal Pradesh,1958,NA,NA,NA,NA,NA
Arunachal Pradesh,1959,NA,NA,NA,NA,NA
Arunachal Pradesh,1960,NA,NA,NA,NA,NA
Arunachal Pradesh,1961,NA,NA,NA,NA,NA
Arunachal Pradesh,1962,NA,NA,NA,NA,NA
Arunachal Pradesh,1963,NA,NA,NA,NA,NA
Arunachal Pradesh,1964,NA,NA,NA,NA,NA
Arunachal Pradesh,1965,NA,NA,NA,NA,NA
Arunachal Pradesh,1966,NA,NA,NA,NA,NA
Arunachal Pradesh,1967,NA,NA,NA,NA,NA
Arunachal Pradesh,1968,NA,NA,NA,NA,NA
Arunachal Pradesh,1969,NA,NA,NA,NA,NA
Arunachal Pradesh,1970,NA,NA,NA,NA,NA
Arunachal Pradesh,1971,NA,NA,NA,NA,NA
Arunachal Pradesh,1972,NA,NA,NA,NA,NA
Arunachal Pradesh,1973,NA,NA,NA,NA,NA
Arunachal Pradesh,1974,NA,NA,NA,NA,NA
Arunachal Pradesh,1975,NA,NA,NA,NA,NA
Arunachal Pradesh,1976,NA,NA,NA,NA,NA
Arunachal Pradesh,1977,NA,NA,NA,NA,NA
Arunachal Pradesh,1978,NA,NA,NA,NA,NA
Arunachal Pradesh,1979,NA,NA,NA,NA,NA
Arunachal Pradesh,1980,NA,NA,NA,NA,NA
Arunachal Pradesh,1981,NA,NA,NA,NA,NA
Arunachal Pradesh,1982,NA,NA,NA,NA,NA
Arunachal Pradesh,1983,NA,NA,NA,NA,NA
Arunachal Pradesh,1984,NA,NA,NA,NA,NA
Arunachal Pradesh,1985,NA,NA,NA,NA,NA
Arunachal Pradesh,1986,NA,NA,NA,NA,NA
Arunachal Pradesh,1987,NA,NA,NA,NA,NA
Arunachal Pradesh,1988,NA,NA,NA,NA,NA
Arunachal Pradesh,1989,NA,NA,NA,NA,NA
Arunachal Pradesh,1990,NA,NA,NA,NA,NA
Arunachal Pradesh,1991,NA,NA,NA,NA,NA
Arunachal Pradesh,1992,NA,NA,NA,NA,NA
Arunachal Pradesh,1993,NA,NA,NA,NA,NA
Arunachal Pradesh,1994,NA,NA,NA,NA,NA
Arunachal Pradesh,1995,NA,NA,NA,NA,NA
Arunachal Pradesh,1996,NA,NA,NA,NA,NA
Arunachal Pradesh,1997,NA,NA,NA,NA,NA
Arunachal Pradesh,1998,NA,NA,NA,NA,NA
Arunachal Pradesh,1999,NA,NA,NA,NA,NA
Arunachal Pradesh,2000,NA,NA,NA,NA,NA
Arunachal Pradesh,2001,NA,NA,NA,NA,NA
Arunachal Pradesh,2002,NA,NA,NA,NA,NA
Arunachal Pradesh,2003,NA,NA,NA,NA,NA
Arunachal Pradesh,2004,NA,NA,NA,NA,NA
Arunachal Pradesh,2005,NA,NA,NA,NA,NA
Arunachal Pradesh,2006,NA,NA,NA,NA,NA
Arunachal Pradesh,2007,NA,NA,NA,NA,NA
Arunachal Pradesh,2008,NA,NA,NA,NA,NA
Arunachal Pradesh,2009,NA,NA,NA,NA,NA
Arunachal Pradesh,2010,NA,NA,NA,NA,NA
Arunachal Pradesh,2011,NA,NA,NA,NA,NA
Arunachal Pradesh,2012,NA,NA,NA,NA,NA
Arunachal Pradesh,2013,NA,NA,NA,NA,NA
Arunachal Pradesh,2014,NA,NA,NA,NA,NA
Assam,1950,59.28246862,0.7968695,146.219309,117.8580668,101.8223175
Assam,1951,60.59675915,0.86871839,116.3052138,118.9658298,104.6206258
Assam,1952,60.55693217,0.86925159,120.0999178,119.378415,105.1622339
Assam,1953,65.15197067,0.89111285,103.3440819,123.6003483,109.9464385
Assam,1954,65.17686254,0.89657817,111.8698455,124.8381039,112.6093449
Assam,1955,68.74137779,0.89831107,108.9622151,128.6248446,115.7235913
